,STATION_ID,LAT_SCALED,LON_SCALED
0,WBAN:00184,16,22
1,WBAN:14929,3,18
2,WBAN:13962,14,17
3,WBAN:94975,5,17
4,WBAN:14813,7,30
5,WBAN:53864,14,26
6,WBAN:23061,10,13
7,WBAN:54921,6,18
8,WBAN:00258,12,12
9,WBAN:24044,6,15
10,WBAN:03049,16,14
11,WBAN:94299,6,2
12,WBAN:53933,10,18
13,WBAN:23047,12,16
14,WBAN:63811,12,28
15,WBAN:00137,11,13
16,WBAN:04864,3,24
17,WBAN:12832,17,27
18,WBAN:93730,8,35
19,WBAN:53932,12,19
20,WBAN:14605,4,38
21,WBAN:94281,3,1
22,WBAN:54817,4,29
23,WBAN:53138,8,7
24,WBAN:24130,3,4
25,WBAN:23155,12,3
26,WBAN:14606,3,39
27,WBAN:14616,4,39
28,WBAN:54833,5,24
30,WBAN:00282,2,14
31,WBAN:94947,7,19
32,WBAN:00127,18,18
33,WBAN:00224,4,2
34,WBAN:54781,5,36
35,WBAN:03044,14,16
36,WBAN:24033,3,11
37,WBAN:04725,6,34
38,WBAN:23157,10,4
39,WBAN:24011,2,16
40,WBAN:00286,4,23
41,WBAN:53881,10,31
42,WBAN:03036,10,10
43,WBAN:94793,7,37
44,WBAN:23225,8,2
45,WBAN:03859,10,30
46,WBAN:23158,13,6
47,WBAN:00263,17,18
48,WBAN:24131,5,5
49,WBAN:63871,16,27
50,WBAN:14739,6,37
51,WBAN:00310,0,5
52,WBAN:93808,10,26
53,WBAN:00353,5,11
54,WBAN:24132,3,9
55,WBAN:00451,10,21
56,WBAN:00435,18,20
57,WBAN:00433,9,3
58,WBAN:24180,6,8
59,WBAN:94946,6,17
60,WBAN:94902,4,19
61,WBAN:03721,13,32
62,WBAN:23159,10,8
63,WBAN:94037,3,14
64,WBAN:94054,4,12
65,WBAN:03068,9,14
66,WBAN:04866,5,25
67,WBAN:94282,0,1
68,WBAN:14742,4,36
69,WBAN:14817,4,27
70,WBAN:54743,7,35
72,WBAN:12986,17,19
73,WBAN:23136,13,3
74,WBAN:54923,3,19
75,WBAN:00285,0,17
76,WBAN:93729,12,34
77,WBAN:93810,10,24
78,WBAN:03177,14,4
80,WBAN:24089,5,12
81,WBAN:00465,6,32
82,WBAN:00283,0,18
83,WBAN:53887,9,24
84,WBAN:24017,5,15
85,WBAN:04114,4,7
86,WBAN:94943,4,17
87,WBAN:13880,14,31
88,WBAN:13866,9,30
89,WBAN:00143,8,15
90,WBAN:93203,8,1
91,WBAN:13301,8,22
92,WBAN:53916,8,21
93,WBAN:93104,11,4
94,WBAN:94605,2,38
95,WBAN:23051,11,14
97,WBAN:14820,6,30
98,WBAN:03027,12,13
99,WBAN:00222,9,21
100,WBAN:23008,13,14
101,WBAN:12867,18,30
102,WBAN:24045,4,10
103,WBAN:24136,1,5
104,WBAN:00276,15,17
105,WBAN:53129,10,7
107,WBAN:03945,9,22
109,WBAN:13812,8,29
110,WBAN:13984,8,18
111,WBAN:94057,5,13
113,WBAN:04141,5,0
114,WBAN:00234,11,23
115,WBAN:04908,7,20
116,WBAN:94977,0,22
117,WBAN:24286,6,0
118,WBAN:04915,7,21
119,WBAN:03073,15,20
120,WBAN:00287,0,14
121,WBAN:03847,11,27
123,WBAN:93798,9,32
124,WBAN:00316,3,22
125,WBAN:94032,4,14
126,WBAN:24137,0,8
127,WBAN:23161,12,5
128,WBAN:24219,3,2
129,WBAN:54734,6,35
130,WBAN:94704,5,32
131,WBAN:04223,0,2
133,WBAN:04871,6,25
134,WBAN:53925,13,21
135,WBAN:03976,16,21
136,WBAN:53964,13,18
137,WBAN:04916,5,23
138,WBAN:22001,17,16
139,WBAN:00315,7,29
140,WBAN:23162,8,8
141,WBAN:23078,14,11
142,WBAN:00445,14,25
143,WBAN:04139,6,3
144,WBAN:14933,6,21
145,WBAN:03104,13,5
146,WBAN:53853,16,26
147,WBAN:24138,3,8
148,WBAN:00444,7,11
149,WBAN:04978,4,22
150,WBAN:13985,10,17
151,WBAN:93026,15,10
152,WBAN:13707,8,34
153,WBAN:54786,7,34
154,WBAN:54844,2,28
155,WBAN:04787,7,32
156,WBAN:00443,5,10
158,WBAN:03070,11,15
159,WBAN:14747,5,31
160,WBAN:00298,5,29
161,WBAN:03809,11,24
164,WBAN:00254,18,22
165,WBAN:14991,3,23
166,WBAN:23114,12,4
167,WBAN:93816,8,25
168,WBAN:93992,14,22
169,WBAN:23044,15,12
170,WBAN:00182,2,20
171,WBAN:13786,11,34
172,WBAN:00210,11,29
173,WBAN:93076,10,15
174,WBAN:03733,8,31
176,WBAN:24220,1,2
177,WBAN:24006,4,15
178,WBAN:14748,6,33
180,WBAN:13989,9,19
181,WBAN:53986,11,18
182,WBAN:24141,1,3
183,WBAN:94853,3,26
184,WBAN:94971,5,20
185,WBAN:00304,18,23
186,WBAN:24221,4,0
189,WBAN:04111,7,9
190,WBAN:24114,1,4
191,WBAN:00220,13,30
192,WBAN:04925,7,22
193,WBAN:94056,3,15
194,WBAN:00270,18,17
196,WBAN:94957,8,20
197,WBAN:94969,4,21
198,WBAN:23090,10,11
199,WBAN:93996,10,23
200,WBAN:03707,10,32
201,WBAN:53922,11,21
202,WBAN:13762,10,34
203,WBAN:94966,2,19
204,WBAN:00326,16,30
205,WBAN:00237,2,22
206,WBAN:14825,7,28
207,WBAN:04780,5,37
209,WBAN:53889,9,25
210,WBAN:13829,14,27
211,WBAN:00449,6,9
212,WBAN:13806,11,26
214,WBAN:94933,5,21
216,WBAN:00162,7,14
217,WBAN:63847,12,27
218,WBAN:12895,19,31
219,WBAN:53988,15,22
220,WBAN:13947,8,19
221,WBAN:53861,15,27
222,WBAN:13964,12,21
223,WBAN:03875,15,30
224,WBAN:23091,16,15
225,WBAN:14827,7,27
226,WBAN:04929,1,20
227,WBAN:53841,9,27
228,WBAN:54818,4,26
229,WBAN:00152,3,36
230,WBAN:94868,6,31
231,WBAN:03981,13,17
232,WBAN:93947,16,17
233,WBAN:03706,9,33
234,WBAN:04876,6,24
235,WBAN:04924,6,19
236,WBAN:04836,1,39
237,WBAN:93193,10,3
238,WBAN:94276,0,0
240,WBAN:54772,4,37
241,WBAN:00265,7,26
242,WBAN:03896,13,27
243,WBAN:13975,11,17
244,WBAN:03056,14,15
245,WBAN:93764,8,33
246,WBAN:94959,7,23
247,WBAN:12993,17,24
248,WBAN:23081,12,10
249,WBAN:23064,9,16
250,WBAN:94041,1,16
251,WBAN:04807,6,26
252,WBAN:53870,12,30
253,WBAN:04854,3,28
254,WBAN:00391,13,31
255,WBAN:13764,9,34
256,WBAN:53982,14,20
257,WBAN:94008,0,12
258,WBAN:00361,10,27
260,WBAN:24087,1,13
261,WBAN:14750,5,35
262,WBAN:00135,9,1
263,WBAN:53893,13,25
264,WBAN:03708,12,32
265,WBAN:23065,8,16
266,WBAN:04994,0,20
267,WBAN:14829,6,27
268,WBAN:53977,14,18
269,WBAN:03195,11,8
270,WBAN:14916,1,19
271,WBAN:23066,8,11
272,WBAN:94992,1,24
273,WBAN:94919,1,21
274,WBAN:04999,3,20
275,WBAN:00481,9,8
276,WBAN:00387,4,3
277,WBAN:93057,12,11
278,WBAN:24201,1,1
279,WBAN:53967,13,19
280,WBAN:24143,1,9
281,WBAN:04880,7,25
282,WBAN:24051,7,13
283,WBAN:14898,4,25
284,WBAN:13723,11,31
285,WBAN:13939,13,23
286,WBAN:63874,15,26
287,WBAN:94626,3,38
288,WBAN:13926,14,19
289,WBAN:53874,13,29
291,WBAN:24048,4,11
293,WBAN:14976,6,22
294,WBAN:03870,12,29
295,WBAN:54819,6,29
296,WBAN:53941,11,20
298,WBAN:53913,11,19
299,WBAN:03030,11,16
300,WBAN:94836,2,26
301,WBAN:00150,2,18
302,WBAN:00221,12,8
303,WBAN:00186,16,25
304,WBAN:93706,8,32
305,WBAN:94161,5,7
306,WBAN:00231,11,33
307,WBAN:53938,12,18
308,WBAN:53855,8,28
309,WBAN:00357,15,18
310,WBAN:03908,16,23
311,WBAN:00154,10,33
312,WBAN:14858,1,25
313,WBAN:53119,11,3
315,WBAN:00455,8,23
316,WBAN:04884,3,27
317,WBAN:04936,6,20
318,WBAN:00159,9,12
319,WBAN:14751,7,33
320,WBAN:13971,11,22
321,WBAN:00431,14,21
322,WBAN:14752,6,36
323,WBAN:00219,12,31
324,WBAN:00322,1,17
326,WBAN:94012,0,10
327,WBAN:03167,13,4
328,WBAN:94025,7,12
330,WBAN:93228,10,1
331,WBAN:94973,2,23
332,WBAN:53973,16,19
333,WBAN:00337,14,29
334,WBAN:04998,7,18
335,WBAN:24144,2,8
336,WBAN:53886,10,25
337,WBAN:03711,11,32
338,WBAN:00250,15,28
340,WBAN:04113,3,3
341,WBAN:94038,2,15
342,WBAN:94931,1,22
343,WBAN:03810,11,30
344,WBAN:00306,17,21
345,WBAN:00260,18,21
346,WBAN:93990,8,17
347,WBAN:53972,15,19
348,WBAN:63837,14,30
349,WBAN:93986,12,17
350,WBAN:93034,14,14
352,WBAN:00392,10,2
353,WBAN:23002,14,12
355,WBAN:00163,7,15
356,WBAN:00128,15,29
357,WBAN:12962,17,17
358,WBAN:00429,9,11
359,WBAN:94225,2,0
360,WBAN:00225,16,18
361,WBAN:03962,13,22
362,WBAN:93757,9,31
363,WBAN:14609,2,39
364,WBAN:12927,17,23
365,WBAN:12918,17,20
366,WBAN:04887,5,28
367,WBAN:00484,4,13
368,WBAN:53896,9,26
369,WBAN:03860,9,29
370,WBAN:63804,12,26
371,WBAN:53903,16,20
372,WBAN:14936,4,18
373,WBAN:13986,9,18
374,WBAN:04933,3,21
375,WBAN:00291,0,19
376,WBAN:94720,6,38
377,WBAN:53990,13,20
378,WBAN:00452,2,5
379,WBAN:24145,5,8
380,WBAN:93115,14,5
381,WBAN:03144,14,6
382,WBAN:24091,7,16
383,WBAN:00141,10,20
385,WBAN:64706,7,31
386,WBAN:93819,8,26
387,WBAN:14918,0,21
388,WBAN:00377,17,29
389,WBAN:00240,5,27
390,WBAN:14937,6,23
391,WBAN:54941,5,22
392,WBAN:94926,2,24
393,WBAN:04997,2,21
394,WBAN:04781,7,36
395,WBAN:94761,5,33
396,WBAN:00464,3,25
397,WBAN:00216,4,28
399,WBAN:24166,4,9
401,WBAN:03889,10,29
402,WBAN:03811,11,25
403,WBAN:04946,4,20
404,WBAN:14833,6,28
405,WBAN:93753,12,33
